SKU,Barcode,MPN,Product Title,Product Description,Variant Image,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Image 8,Image 9,Image 10,Cost per item,Compare At Price,Price,Inventory Quantity,Entrenue qty available,Inventory Quantity,Fluid Oz,Vendor,Material,Color,Main Category,Sub-Category,Size,Fulfillment Service,Inventory tracked,Image URL,Variant Inventory Policy,Variant Fulfillment Service,Requires Shipping,Variant Requires Shipping
42503,796494101452,10145,JO All-In-One Sensual Massage Glide Fragrance Free 1 oz.,"JO All-In-One Sensual Massage Glide is our premium silicone-based massage formula, offering a long-lasting, buttery feel that enhances every stroke and caress. Smooth and satisfying, it dries down to a matte, soft-touch finish. One drop of All-In-One Sensual Massage Glide is equal to ten drops of traditional massage oil, so a little goes a long way! Perfect for everything from full body, deep tissue massage to erotic teasing, it can even be used as a tattoo brightener and body conditioner to seal in moisture. Includes Highest Quality Silicones Long-Lasting Glide Preservative-Free Buttery Feel Never Sticky or Tacky Not Compatible with Polyurethane Condoms Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Dimethicone, Dimethiconol",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503A.jpg?v=1714496570,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503B.jpg?v=1714496570,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503C.jpg?v=1714496570,,,,,,,,4.75,10.99,0,39,0,39,1,System JO,Liquid,Clear,,Massage,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503A.jpg?v=1714496570,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503B.jpg?v=1714496570,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42503C.jpg?v=1714496570",deny,manual,TRUE,TRUE
42504,796494101469,10146,JO All-In-One Sensual Massage Glide Lavender 1 oz.,"Lavender Fields scented All-In-One Sensual Massage Glide features our premium silicone-based massage formula and offers a long-lasting buttery feel that enhances every stroke and caress. Smooth and satisfying, it dries down to a matte, soft-touch finish. Set the mood with the enticing lavender scent and apply sparingly - one drop of All-In-One Sensual Massage Glide is equal to ten drops of traditional massage oil, so a little goes a long way! Perfect for everything from full body, deep tissue massage to erotic teasing, it can even be used as a tattoo brightener and body conditioner to seal in moisture. Includes Highest Quality Silicones Long-Lasting Glide Preservative-Free Buttery Feel Never Sticky or Tacky Not Compatible with Polyurethane Condoms Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Dimethicone, Dimethiconol, Lavandula Angustifolia (Lavender) Oil",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504A.jpg?v=1714496576,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504B.jpg?v=1714496576,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504C.jpg?v=1714496576,,,,,,,,4.75,10.99,0,22,0,22,1,System JO,Liquid,Clear,,Massage,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504A.jpg?v=1714496576,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504B.jpg?v=1714496576,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42504C.jpg?v=1714496576",deny,manual,TRUE,TRUE
42506,796494101483,10148,JO All-In-One Sensual Massage Glide Warming 1 oz.,"JO All-In-One Sensual Massage Glide Warm Embrace is our premium silicone-based massage formula, offering a long-lasting buttery feel and a gentle warming sensation. Smooth and satisfying, it dries down to a matte, soft-touch finish. One drop of All-In-One Sensual Massage Glide is equal to ten drops of traditional massage oil, so a little goes a long way! Perfect for everything from full body, deep tissue massage to erotic teasing, it can even be used as a tattoo brightener and body conditioner so seal in moisture. Includes Highest Quality Silicones Long-Lasting Glide Preservative-Free Buttery Feel Never Sticky or Tacky Not Compatible with Polyurethane Condoms Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Dimethicone, Dimethiconol, Capsicum Frutescens Fruit Extract",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506A.jpg?v=1714496581,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506B.jpg?v=1714496582,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506C.jpg?v=1714496582,,,,,,,,4.75,10.99,0,55,0,55,1,System JO,Liquid,Clear,,Massage,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506A.jpg?v=1714496581,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506B.jpg?v=1714496582,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/42506C.jpg?v=1714496582",deny,manual,TRUE,TRUE
45144,796494403846,40384,JO H2O Vanilla Cream Flavored Water-Based Lubricant 4 oz.,"JO H2O Vanilla Cream flavored lubricant lets you enjoy the mixture of marshmallow and a hint of caramel. Featuring a water-based formula and the warm and rich flavoring of vanilla beans and sweet cream, its sensual, comforting glide and silky-smooth feel are perfect for any intimate moment, particularly oral play. And when youft.re done, it cleans off easily and leaves your skin feeling soft and moisturized. Silky-Smooth Feel Cleans Easily with Water Non-Staining No Sugar Added Does Not Contain Alcohol Great for Solo or Partner Play Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Glycerin, Water (Aqua), Flavor (Aroma), Cellulose Gum, Methylparaben, Propylparaben",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45144A.jpg?v=1714497730,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45144B.jpg?v=1714497730,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45144C.jpg?v=1714497730,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45144D.jpg?v=1714497730,,,,,,,10.28,24.49,0,100,0,100,4,System JO,Liquid,Clear,,"Flavored,Water-Based",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45144A.jpg?v=1714497730,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45144B.jpg?v=1714497730,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45144C.jpg?v=1714497730",deny,manual,TRUE,TRUE
45145,796494403853,40385,JO H2O Green Apple Delight Flavored Water-Based Lubricant 4 oz.,"JO H2O Green Apple Delight flavored lubricant lets you enjoy the light tartness of green apples. Featuring a water-based formula and bright and juicy green apple flavoring, its sensual, comforting glide and silky-smooth feel are perfect for any intimate moment, particularly oral play. And when youft.re done, it cleans off easily and leaves your skin feeling soft and moisturized. Silky-Smooth Feel Cleans Easily with Water Non-Staining No Sugar Added Does Not Contain Alcohol Great for Solo or Partner Play Compatible with Most Toys and Condoms Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Glycerin, Water (Aqua), Flavor (Aroma), Cellulose Gum, Methylparaben, Propylparaben",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45145A.jpg?v=1714497736,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45145B.jpg?v=1714497737,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45145C.jpg?v=1714497737,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45145D.jpg?v=1714497737,,,,,,,10.28,24.49,0,50,0,50,4,System JO,Liquid,Clear,,"Flavored,Water-Based",,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45145A.jpg?v=1714497736,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45145B.jpg?v=1714497737,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45145C.jpg?v=1714497737",deny,manual,TRUE,TRUE
45163,796494403761,40376,JO Refresh Foaming Toy Cleaner 1.7 oz.,"JO Refresh Foaming Toy Cleaner is a gentle, fragrance-free formula that easily cleans all types of toy surfaces and can extend the lifespan of your most intimate items. The fast-acting foam cleaner clings to the surfaces it needs to clean but leaves no residue. And, it needs only 60 seconds to work before it can be rinsed away. Paraben, Alcohol, & Triclosan-Free Gentle Cleaner Fragrance-Free Improves Lifespan of Toys Soap-Free Formula Cleans With A Few Pumps Made in the USA FDA Licensed ISO Certified 100% Pleasure Guarantee Ingredients: Water (Aqua), Cocamidopropyl Betaine, Propylene Glycol, Phenoxyethanol, Benzalkonium Chloride, Zinc Gluconate",https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45163A.jpg?v=1714497764,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45163B.jpg?v=1714497764,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45163C.jpg?v=1714497764,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45163D.jpg?v=1714497764,,,,,,,4.21,9.99,0,632,0,632,1.7,System JO,Liquid,Clear,,Toy Cleaners,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45163A.jpg?v=1714497764,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45163B.jpg?v=1714497764,https://cdn.shopify.com/s/files/1/0602/8132/3620/files/45163C.jpg?v=1714497764",deny,manual,TRUE,TRUE
45959,5060108819909,FS-40168,Fifty Shades of Grey Insatiable Desire Silicone Mini G-Spot Vibrator Black,"Fifty Shades Insatiable Desire Mini G-Spot VibratorCurved to stimulate one of your most desired spots, this pleasure-seeking wand combines a smooth form with powerful vibrations, delivering incredible satisfaction with a simple push of a button. Insert slowly and angle to stimulate your desired spot, using water-based lubricant to enhance your pleasure and ease. Start the vibrations, lie back and enjoy the build-up to intensely satisfying results. Key features:- 10 intense vibration speeds and patterns- skin-safe, smooth silicone form- completely waterproof for aquatic play- easy-to-use button controller- requires just 1 x AA battery- supplied with branded Fifty Shades storage bag",https://cdn.shopify.com/s/files/1/0602/8132/3620/products/45959.jpg?v=1674807508,,,,,,,,,,16,29.99,0,24,41,65,,Fifty Shades of Grey,Silicone,Black,,G-Spot and Classic Slimline,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/products/45959.jpg?v=1674807508,,",deny,manual,TRUE,TRUE
45962,5060108819817,FS-40172,Fifty Shades of Grey Something Forbidden Silicone Butt Plug Black,"Fifty Shades Something Forbidden Butt PlugMade from smooth silicone with a firm-yet-flexible form, the butt plug is shaped for sensational stimulation of one of your most sensitive spots. Perfectly contoured for easy insertion with a curved tip and graduating to a curved body for more-than-fulfilling satisfaction. Team with plenty of water-based lubricant to enjoy pleasing sensations. Key features: - perfectly sized for anal play beginners- skin-safe, smooth and firm silicone form- curved for easy insertion and anal stimulation- 100% waterproof for aquatic play- finger loop for safe insertion and retrieval- supplied with branded Fifty Shades storage bag",https://cdn.shopify.com/s/files/1/0602/8132/3620/products/45962.jpg?v=1674807512,,,,,,,,,,11,19.99,0,5,18,23,,Fifty Shades of Grey,Silicone,Black,,Plugs and Probes,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/products/45962.jpg?v=1674807512,,",deny,manual,TRUE,TRUE
45964,5060108819749,FS-40174,Fifty Shades of Grey Inner Goddess Silver Metal Balls Kegel Trainer,"Fifty Shades Inner Goddess Silver Pleasure BallsTwo Silver Pleasure Balls designed to effectively tone and tighten your pelvic ?oor muscles and deliver heightened pleasure during play. Each ball is wonderfully smooth and weighted, stimulating your internal spots for discreet solo pleasure during wear or to enhance play with a partner. Key features:- smooth, cool and solid for heightened sensations- weighted for intermediate users- effectively enhance control and orgasm intensity- contoured for easy insertion- strong and secure retrieval cord- easy to clean- supplied with branded Fifty Shades storage bag",https://cdn.shopify.com/s/files/1/0602/8132/3620/products/45964.jpg?v=1674807515,,,,,,,,,,16,29.99,0,0,0,0,,Fifty Shades of Grey,Metal,Silver/Steel/Chrome,,Kegel Toys,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/products/45964.jpg?v=1674807515,,",deny,manual,TRUE,TRUE
45965,5060108819718,FS-40175,Fifty Shades of Grey Drive Me Crazy 7.5 in. Glass Massage Wand Dildo Clear,"Fifty Shades Drive Me Crazy Glass WandPerfect for sensory exploration, offering a firmness thats both unique and satisfying for internal and external massage. Using the sleek shape and sensual curves, effortlessly glide your glass massage wand over tired muscles, enjoy an intimate massage or experiment with temperature play.Key features: - smooth, curvaceous and rigid for incredible sensations- ideal for erotic massages and intimate stimulation - strong, durable glass for long-lasting, safe use - perfect for temperature play- easy-to-clean - supplied with branded Fifty Shades storage bag",https://cdn.shopify.com/s/files/1/0602/8132/3620/products/45965.jpg?v=1674807518,,,,,,,,,,18.5,36.99,0,0,0,0,,Fifty Shades of Grey,Glass,Clear,,Glass and Metal,,FulfillmentCustom,shopify,"https://cdn.shopify.com/s/files/1/0602/8132/3620/products/45965.jpg?v=1674807518,,",deny,manual,TRUE,TRUE
